"date" "actual" "fore_model_1" "fore_model_2" "error1" "error2"
"1" 2016-05-01 0.00882796452986057 0.00209954282418208 0.000114665242431322 0.00672842170567848 0.00871329928742924
"2" 2016-05-02 0.0119205006252656 0.00187285481418241 5.38833666239531e-05 0.0100476458110832 0.0118666172586417
"3" 2016-05-03 0.021264009716333 0.00180166417263457 4.96526499189856e-05 0.0194623455436984 0.021214357066414
"4" 2016-05-04 0.0106150792743964 0.00110444460316628 5.20965912092275e-05 0.00951063467123014 0.0105629826831872
"5" 2016-05-05 0 0.00155475741581486 2.6126708275546e-05 -0.00155475741581486 -2.6126708275546e-05
"6" 2016-05-06 -0.0024108403976193 0.00131178819717949 -1.31009781855606e-05 -0.00372262859479878 -0.00239773941943374
"7" 2016-05-07 -0.00535300729796973 0.00099706160319696 -7.73013109300905e-05 -0.00635006890116669 -0.00527570598703963
"8" 2016-05-08 -0.00208297657714063 0.000484069100478838 -3.79265311640588e-05 -0.00256704567761947 -0.00204505004597657
"9" 2016-05-09 -0.00225806227434155 0.000237695709461562 -0.000134099832029703 -0.00249575798380312 -0.00212396244231185
"10" 2016-05-10 0 0.000256027256255447 -0.000102104788785032 -0.000256027256255447 0.000102104788785032
"11" 2016-05-11 -0.0296408519290363 0.000328364855978743 -0.000100446554382824 -0.0299692167850151 -0.0295404053746535
"12" 2016-05-12 0.00478702142556209 0.000471765905854141 -5.37239841787749e-05 0.00431525551970795 0.00484074540974086
"13" 2016-05-13 -0.011767960892124 0.000530717346203877 -3.25141604299572e-05 -0.0122986782383278 -0.011735446731694
"14" 2016-05-14 -0.0220786413690188 0.000591471803950444 -1.04877874005064e-05 -0.0226701131729693 -0.0220681535816183
"15" 2016-05-15 0.00154882639246168 0.000593504953647951 -7.46198033491108e-05 0.000955321438813727 0.00162344619581079
"16" 2016-05-16 0.00528594716487518 0.00132410591753799 -9.14878780046436e-05 0.00396184124733719 0.00537743504287983
"17" 2016-05-17 0.000157062205808245 0.001172633409834 -0.000190365297483595 -0.00101557120402575 0.00034742750329184
"18" 2016-05-18 -0.00154064283436206 0.00142363738794758 -0.000217344670309907 -0.00296428022230964 -0.00132329816405215
"19" 2016-05-19 -0.0158064882365068 0.00190144082162251 -0.000102000183735751 -0.0177079290581293 -0.015704488052771
"20" 2016-05-20 -0.015002910863041 0.00179363018797336 -0.000185687058285885 -0.0167965410510143 -0.0148172238047551
"21" 2016-05-21 -0.000275539679456926 0.00160190434322621 -0.000216195544861324 -0.00187744402268313 -5.93441345956023e-05
"22" 2016-05-22 0.0183370701951002 0.00153668383430478 -0.000204917767010796 0.0168003863607954 0.018541987962111
"23" 2016-05-23 -0.0298687606845718 0.00151643355085324 -0.000111977283082912 -0.031385194235425 -0.0297567834014889
"24" 2016-05-24 -0.00161434589847254 0.00181029021830237 -0.000153132472232962 -0.00342463611677491 -0.00146121342623957
"25" 2016-05-25 0.0333515612453361 0.00204406815978831 -9.09091875439206e-05 0.0313074930855478 0.03344247043288
"26" 2016-05-26 -0.0126337840386981 0.00195601653020282 -0.000238982554499266 -0.0145898005689009 -0.0123948014841988
"27" 2016-05-27 0.00499700413481108 0.00148915852860333 -0.000252904625065422 0.00350784560620775 0.0052499087598765
"28" 2016-05-28 0.00731940278211063 0.00200720293270297 -0.000202606925563902 0.00531219984940766 0.00752200970767453
"29" 2016-05-29 0.0186286170326202 0.00194298297884871 -0.000217258014610768 0.0166856340537715 0.018845875047231
"30" 2016-05-30 0.00727057446432511 0.00118960401807856 -0.000305719254023693 0.00608097044624655 0.0075762937183488
"31" 2016-05-31 -0.0041888973765829 0.00138882133930408 -0.000135524269800811 -0.00557771871588698 -0.00405337310678209
"32" 2016-06-01 -0.0209387981785429 0.00123697026907112 -0.000139844302574767 -0.0221757684476141 -0.0207989538759682
"33" 2016-06-02 0.0110013291988231 0.00104359945588274 -0.000134244439346255 0.00995772974294038 0.0111355736381694
"34" 2016-06-03 0.0192600442300996 0.000622305368580793 -0.000118605310598107 0.0186377388615188 0.0193786495406977
"35" 2016-06-04 0.00363194806283396 0.000464650217826456 -0.000258124091812973 0.0031672978450075 0.00389007215464693
"36" 2016-06-05 -0.0102926998819868 0.000556813231960095 -0.000108665916806682 -0.0108495131139469 -0.0101840339651801
"37" 2016-06-06 -0.0235228997446395 0.000988536481536031 -8.73347957166867e-05 -0.0245114362261755 -0.0234355649489228
"38" 2016-06-07 0.000745497190996147 0.000728771482427675 -7.26009469791334e-05 1.67257085684721e-05 0.000818098137975281
"39" 2016-06-08 -0.0224150345878211 0.000283708479738248 -0.000110682921497734 -0.0226987430675594 -0.0223043516663234
"40" 2016-06-09 0.0250202546492453 0.000219578029851845 -0.000249248535060065 0.0248006766193934 0.0252695031843054
"41" 2016-06-10 0.0287895962961962 0.000461863489658139 -0.000106069298330346 0.028327732806538 0.0288956655945265
"42" 2016-06-11 -0.00968484246220491 0.00100788773086562 -0.000154386687431158 -0.0106927301930705 -0.00953045577477375
"43" 2016-06-12 0.0144648446488507 0.000961009574626979 -0.00019364420541369 0.0135038350742237 0.0146584888542644
"44" 2016-06-13 -0.00293084169478597 0.00145910758816959 -9.74495338716283e-05 -0.00438994928295556 -0.00283339216091434
"45" 2016-06-14 -0.0224441591539044 0.000808195893252123 -6.45109683611512e-05 -0.0232523550471565 -0.0223796481855433
"46" 2016-06-15 0.00503784026515319 7.11581084152694e-05 -5.28057619975932e-05 0.00496668215673792 0.00509064602715079
"47" 2016-06-16 -0.0171906635550716 0.000336113323054156 -7.74046462822368e-05 -0.0175267768781258 -0.0171132589087894
